"2023-10-14 at 9:22"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2023-10-14	9:22:52	-1.79506e1	1.22901	-2.07812e1	5.16167e1	9.57159e1	-5.1581859e-3	1.1858880e-2	2.4162416e1	7.3099808e-1	
2023-10-14	9:22:52	-1.76924e1	1.20927	-2.09674e1	5.16234e1	9.57147e1	-5.0822496e-3	1.1685073e-2	2.4151506e1	7.3485927e-1	
2023-10-14	9:22:53	-1.75886e1	1.24211	-2.06596e1	5.16201e1	9.57127e1	-5.0517320e-3	1.1973202e-2	2.4157381e1	7.3427014e-1	
2023-10-14	9:22:53	-1.81390e1	1.23549	-2.07201e1	5.16134e1	9.57214e1	-5.2138566e-3	1.1916458e-2	2.4158220e1	7.3126115e-1	
2023-10-14	9:22:54	-1.81390e1	1.23549	-2.07201e1	5.16134e1	9.57214e1	-5.2138566e-3	1.1916458e-2	2.4158220e1	7.3126115e-1	
2023-10-14	9:22:54	-1.75035e1	1.23585	-2.07174e1	5.16134e1	9.57157e1	-5.0270557e-3	1.1918962e-2	2.4160737e1	7.3202419e-1	
2023-10-14	9:22:55	-1.76295e1	1.24089	-2.06711e1	5.16201e1	9.57117e1	-5.0636529e-3	1.1962354e-2	2.4160737e1	7.3378677e-1	
2023-10-14	9:22:55	-1.77130e1	1.23833	-2.06935e1	5.16201e1	9.57227e1	-5.0888061e-3	1.1941313e-2	2.4156541e1	7.3179254e-1	
2023-10-14	9:22:56	-1.77182e1	1.22772	-2.07934e1	5.16167e1	9.57145e1	-5.0898790e-3	1.1847376e-2	2.4160737e1	7.3500156e-1	
2023-10-14	9:22:56	-1.77288e1	1.22941	-2.07772e1	5.16167e1	9.57182e1	-5.0932168e-3	1.1862635e-2	2.4154863e1	7.3100528e-1	
2023-10-14	9:22:57	-1.77288e1	1.22941	-2.07772e1	5.16167e1	9.57182e1	-5.0932168e-3	1.1862635e-2	2.4154863e1	7.3100528e-1	
2023-10-14	9:22:57	-1.77958e1	1.19970	-2.10577e1	5.16201e1	9.57212e1	-5.1130056e-3	1.1601746e-2	2.4160737e1	7.3053603e-1	
2023-10-14	9:22:58	-1.77553e1	1.20013	-2.10543e1	5.16234e1	9.57155e1	-5.1007270e-3	1.1604726e-2	2.4159898e1	7.3482494e-1	
2023-10-14	9:22:58	-1.77253e1	1.21750	-2.08892e1	5.16234e1	9.57172e1	-5.0920248e-3	1.1757731e-2	2.4159898e1	7.3102483e-1	
2023-10-14	9:22:59	-1.75134e1	1.22374	-2.08309e1	5.16168e1	9.57139e1	-5.0297975e-3	1.1812329e-2	2.4160737e1	7.3442244e-1	
2023-10-14	9:22:59	-1.74455e1	1.22472	-2.08213e1	5.16134e1	9.57170e1	-5.0101280e-3	1.1821448e-2	2.4162416e1	7.3154640e-1	
2023-10-14	9:23:00	-1.74455e1	1.22472	-2.08213e1	5.16134e1	9.57170e1	-5.0101280e-3	1.1821448e-2	2.4162416e1	7.3154640e-1	
2023-10-14	9:23:00	-1.79240e1	1.22619	-2.08073e1	5.16201e1	9.57182e1	-5.1504373e-3	1.1834323e-2	2.4162416e1	7.3089485e-1	
2023-10-14	9:23:01	-1.79200e1	1.21993	-2.08665e1	5.16168e1	9.57149e1	-5.1491260e-3	1.1779069e-2	2.4165773e1	7.3514084e-1	
2023-10-14	9:23:01	-1.76275e1	1.22295	-2.08372e1	5.16234e1	9.57225e1	-5.0636529e-3	1.1806249e-2	2.4163255e1	7.3018383e-1	
2023-10-14	9:23:02	-1.75555e1	1.22844	-2.07866e1	5.16201e1	9.57155e1	-5.0421953e-3	1.1853694e-2	2.4165773e1	7.3542137e-1	
2023-10-14	9:23:02	-1.76003e1	1.21780	-2.08861e1	5.16201e1	9.57194e1	-5.0555467e-3	1.1760771e-2	2.4155702e1	7.3114256e-1	
2023-10-14	9:23:03	-1.76003e1	1.21780	-2.08861e1	5.16201e1	9.57194e1	-5.0555467e-3	1.1760771e-2	2.4155702e1	7.3114256e-1	
2023-10-14	9:23:03	-1.76667e1	1.20435	-2.10140e1	5.16168e1	9.57157e1	-5.0748586e-3	1.1642098e-2	2.4152345e1	7.3156695e-1	
2023-10-14	9:23:04	-1.77212e1	1.20785	-2.09813e1	5.16168e1	9.57112e1	-5.0905942e-3	1.1672377e-2	2.4159898e1	7.3331685e-1	
2023-10-14	9:23:04	-1.74564e1	1.21202	-2.09407e1	5.16234e1	9.57200e1	-5.0133466e-3	1.1709868e-2	2.4163255e1	7.3164534e-1	
2023-10-14	9:23:05	-1.74027e1	1.20375	-2.10201e1	5.16234e1	9.57117e1	-4.9971342e-3	1.1636197e-2	2.4164094e1	7.3450956e-1	
2023-10-14	9:23:05	-1.79251e1	1.20685	-2.09898e1	5.16201e1	9.57184e1	-5.1507949e-3	1.1664390e-2	2.4164934e1	7.3035707e-1	
2023-10-14	9:23:06	-1.79251e1	1.20685	-2.09898e1	5.16201e1	9.57184e1	-5.1507949e-3	1.1664390e-2	2.4164934e1	7.3035707e-1	
2023-10-14	9:23:06	-1.77838e1	1.21359	-2.09257e1	5.16201e1	9.57202e1	-5.1094293e-3	1.1723875e-2	2.4159059e1	7.3055562e-1	
2023-10-14	9:23:07	-1.82120e1	1.22616	-2.08084e1	5.16201e1	9.57117e1	-5.2345991e-3	1.1833250e-2	2.4161577e1	7.3433680e-1	
2023-10-14	9:23:07	-1.78964e1	1.23070	-2.07648e1	5.16168e1	9.57209e1	-5.1425695e-3	1.1874318e-2	2.4160737e1	7.3077387e-1	
2023-10-14	9:23:08	-1.74565e1	1.22478	-2.08207e1	5.16134e1	9.57167e1	-5.0133466e-3	1.1821985e-2	2.4163255e1	7.3419194e-1	
2023-10-14	9:23:08	-1.77396e1	1.20993	-2.09608e1	5.16167e1	9.57170e1	-5.0963163e-3	1.1691391e-2	2.4154863e1	7.3160953e-1	
2023-10-14	9:23:09	-1.77396e1	1.20993	-2.09608e1	5.16167e1	9.57170e1	-5.0963163e-3	1.1691391e-2	2.4154863e1	7.3160953e-1	
2023-10-14	9:23:09	-1.76020e1	1.21523	-2.09104e1	5.16201e1	9.57190e1	-5.0560235e-3	1.1738121e-2	2.4154863e1	7.3089199e-1	
2023-10-14	9:23:10	-1.78954e1	1.23379	-2.07367e1	5.16201e1	9.57149e1	-5.1418542e-3	1.1900544e-2	2.4165773e1	7.3383717e-1	
2023-10-14	9:23:10	-1.77474e1	1.25991	-2.04945e1	5.16201e1	9.57235e1	-5.0989389e-3	1.2130200e-2	2.4169969e1	7.3235692e-1	
2023-10-14	9:23:11	-1.75115e1	1.24939	-2.05926e1	5.16168e1	9.57110e1	-5.0290822e-3	1.2036800e-2	2.4158220e1	7.3484225e-1	
2023-10-14	9:23:11	-1.74920e1	1.21670	-2.08966e1	5.16168e1	9.57174e1	-5.0237178e-3	1.1750996e-2	2.4159898e1	7.3031349e-1	
2023-10-14	9:23:12	-1.74920e1	1.21670	-2.08966e1	5.16168e1	9.57174e1	-5.0237178e-3	1.1750996e-2	2.4159898e1	7.3031349e-1	
2023-10-14	9:23:12	-1.79457e1	1.21129	-2.09477e1	5.16168e1	9.57184e1	-5.1568746e-3	1.1703550e-2	2.4154024e1	7.3086233e-1	
2023-10-14	9:23:13	-1.80990e1	1.22240	-2.08432e1	5.16168e1	9.57155e1	-5.2016973e-3	1.1800825e-2	2.4161577e1	7.3460512e-1	
2023-10-14	9:23:13	-1.79526e1	1.22323	-2.08354e1	5.16168e1	9.57162e1	-5.1587820e-3	1.1808156e-2	2.4158220e1	7.3189616e-1	
2023-10-14	9:23:14	-1.79121e1	1.22545	-2.08148e1	5.16167e1	9.57137e1	-5.1467418e-3	1.1827349e-2	2.4157381e1	7.3414058e-1	
2023-10-14	9:23:14	-1.79152e1	1.22068	-2.08585e1	5.16167e1	9.57225e1	-5.1481723e-3	1.1786580e-2	2.4161577e1	7.3157272e-1	
2023-10-14	9:23:15	-1.79152e1	1.22068	-2.08585e1	5.16167e1	9.57225e1	-5.1481723e-3	1.1786580e-2	2.4161577e1	7.3157272e-1	
2023-10-14	9:23:15	-1.78460e1	1.24682	-2.06156e1	5.16201e1	9.57164e1	-5.1274299e-3	1.2014865e-2	2.4163255e1	7.3154830e-1	
2023-10-14	9:23:16	-1.76476e1	1.22057	-2.08612e1	5.16234e1	9.57092e1	-5.0687789e-3	1.1783719e-2	2.4156541e1	7.3499031e-1	
2023-10-14	9:23:16	-1.74440e1	1.20806	-2.09779e1	5.16201e1	9.57225e1	-5.0098896e-3	1.1675477e-2	2.4164934e1	7.3116264e-1	
2023-10-14	9:23:17	-1.72707e1	1.24269	-2.06538e1	5.16201e1	9.57162e1	-4.9587488e-3	1.1978685e-2	2.4163255e1	7.3441381e-1	
2023-10-14	9:23:17	-1.77469e1	1.25586	-2.05315e1	5.16201e1	9.57240e1	-5.0988197e-3	1.2094914e-2	2.4160737e1	7.3076238e-1	
2023-10-14	9:23:18	-1.77469e1	1.25586	-2.05315e1	5.16201e1	9.57240e1	-5.0988197e-3	1.2094914e-2	2.4160737e1	7.3076238e-1	
2023-10-14	9:23:18	-1.79237e1	1.24079	-2.06714e1	5.16167e1	9.57170e1	-5.1503181e-3	1.1962234e-2	2.4158220e1	7.3124670e-1	
2023-10-14	9:23:19	-1.78118e1	1.20535	-2.10044e1	5.16201e1	9.57159e1	-5.1174163e-3	1.1650860e-2	2.4156541e1	7.3377041e-1	
2023-10-14	9:23:19	-1.78943e1	1.21061	-2.09541e1	5.16234e1	9.57194e1	-5.1417350e-3	1.1697411e-2	2.4160737e1	7.3215169e-1	
2023-10-14	9:23:20	-1.77003e1	1.22453	-2.08235e1	5.16201e1	9.57129e1	-5.0845146e-3	1.1819064e-2	2.4154024e1	7.3458333e-1	
2023-10-14	9:23:20	-1.76971e1	1.23015	-2.07703e1	5.16168e1	9.57182e1	-5.0839185e-3	1.1869132e-2	2.4162416e1	7.3042116e-1	
2023-10-14	9:23:21	-1.76971e1	1.23015	-2.07703e1	5.16168e1	9.57182e1	-5.0839185e-3	1.1869132e-2	2.4162416e1	7.3042116e-1	
2023-10-14	9:23:21	-1.77825e1	1.20737	-2.09847e1	5.16201e1	9.57207e1	-5.1090717e-3	1.1669218e-2	2.4164094e1	7.3109045e-1	
2023-10-14	9:23:22	-1.76821e1	1.19451	-2.11078e1	5.16168e1	9.57177e1	-5.0795078e-3	1.1555731e-2	2.4162416e1	7.3509893e-1	
2023-10-14	9:23:22	-1.77842e1	1.21721	-2.08917e1	5.16168e1	9.57190e1	-5.1095485e-3	1.1755645e-2	2.4164094e1	7.3139686e-1	
2023-10-14	9:23:23	-1.77480e1	1.23721	-2.07048e1	5.16201e1	9.57147e1	-5.0985813e-3	1.1930525e-2	2.4166612e1	7.3377523e-1	
2023-10-14	9:23:23	-1.78370e1	1.23545	-2.07203e1	5.16201e1	9.57225e1	-5.1251649e-3	1.1916041e-2	2.4166612e1	7.3094172e-1	
2023-10-14	9:23:24	-1.78370e1	1.23545	-2.07203e1	5.16201e1	9.57225e1	-5.1251649e-3	1.1916041e-2	2.4166612e1	7.3094172e-1	
2023-10-14	9:23:24	-1.77291e1	1.21025	-2.09576e1	5.16167e1	9.57184e1	-5.0933361e-3	1.1694371e-2	2.4164934e1	7.3098855e-1	
2023-10-14	9:23:25	-1.75239e1	1.20647	-2.09942e1	5.16201e1	9.57129e1	-5.0327777e-3	1.1660337e-2	2.4157381e1	7.3489737e-1	
2023-10-14	9:23:25	-1.76253e1	1.21881	-2.08764e1	5.16201e1	9.57205e1	-5.0629377e-3	1.1769771e-2	2.4164094e1	7.3069677e-1	
2023-10-14	9:23:26	-1.77934e1	1.22313	-2.08367e1	5.16201e1	9.57129e1	-5.1118135e-3	1.1806786e-2	2.4159898e1	7.3478746e-1	
2023-10-14	9:23:26	-1.77375e1	1.21820	-2.08825e1	5.16201e1	9.57182e1	-5.0957202e-3	1.1764109e-2	2.4171648e1	7.3169937e-1	
2023-10-14	9:23:27	-1.77375e1	1.21820	-2.08825e1	5.16201e1	9.57182e1	-5.0957202e-3	1.1764109e-2	2.4171648e1	7.3169937e-1	
2023-10-14	9:23:27	-1.79762e1	1.22559	-2.08130e1	5.16168e1	9.57180e1	-5.1658153e-3	1.1829137e-2	2.4158220e1	7.3122715e-1	
2023-10-14	9:23:28	-1.77479e1	1.24668	-2.06174e1	5.16201e1	9.57129e1	-5.0984621e-3	1.2013196e-2	2.4159059e1	7.3431630e-1	
2023-10-14	9:23:28	-1.79560e1	1.23588	-2.07166e1	5.16201e1	9.57207e1	-5.1599740e-3	1.1919558e-2	2.4154863e1	7.3105888e-1	
2023-10-14	9:23:29	-1.80322e1	1.21984	-2.08676e1	5.16201e1	9.57132e1	-5.1819086e-3	1.1777937e-2	2.4165773e1	7.3481793e-1	
2023-10-14	9:23:29	-1.79367e1	1.21216	-2.09391e1	5.16201e1	9.57212e1	-5.1543712e-3	1.1711418e-2	2.4156541e1	7.3018860e-1	
2023-10-14	9:23:30	-1.79367e1	1.21216	-2.09391e1	5.16201e1	9.57212e1	-5.1543712e-3	1.1711418e-2	2.4156541e1	7.3018860e-1	
2023-10-14	9:23:30	-1.77836e1	1.22592	-2.08098e1	5.16201e1	9.57192e1	-5.1093101e-3	1.1831998e-2	2.4159059e1	7.3112773e-1	
2023-10-14	9:23:31	-1.78033e1	1.23558	-2.07201e1	5.16201e1	9.57145e1	-5.1147937e-3	1.1916160e-2	2.4164094e1	7.3451476e-1	
2023-10-14	9:23:31	-1.76924e1	1.22735	-2.07963e1	5.16167e1	9.57194e1	-5.0826072e-3	1.1844754e-2	2.4156541e1	7.3082690e-1	
2023-10-14	9:23:32	-1.74631e1	1.22390	-2.08296e1	5.16167e1	9.57112e1	-5.0148963e-3	1.1813461e-2	2.4166612e1	7.3491978e-1	
2023-10-14	9:23:32	-1.73288e1	1.21388	-2.09231e1	5.16234e1	9.57194e1	-4.9759149e-3	1.1726200e-2	2.4164094e1	7.3106365e-1	
2023-10-14	9:23:33	-1.73288e1	1.21388	-2.09231e1	5.16234e1	9.57194e1	-4.9759149e-3	1.1726200e-2	2.4164094e1	7.3106365e-1	
2023-10-14	9:23:33	-1.77073e1	1.24157	-2.06637e1	5.16201e1	9.57207e1	-5.0870180e-3	1.1969447e-2	2.4161577e1	7.3159523e-1	
2023-10-14	9:23:34	-1.74040e1	1.23693	-2.07077e1	5.16201e1	9.57127e1	-4.9976110e-3	1.1927783e-2	2.4164094e1	7.3427014e-1	
