"2023-10-11 at 10:52"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2023-10-11	10:52:39	-2.07972e1	9.10621e-3	-6.73622e1	5.16201e1	7.57322e1	-4.6453475e-3	7.7188014e-5	2.4161577e1	7.6446537e-1	
2023-10-11	10:52:40	-2.05907e1	9.83942e-3	-6.68130e1	5.16201e1	7.56689e1	-4.5939683e-3	8.3327293e-5	2.4146471e1	7.6680469e-1	
2023-10-11	10:52:40	-2.06760e1	2.17687e-2	-6.09070e1	5.16134e1	7.56844e1	-4.6145915e-3	1.8417835e-4	2.4129686e1	7.5849971e-1	
2023-10-11	10:52:41	-2.06760e1	2.17687e-2	-6.09070e1	5.16134e1	7.56844e1	-4.6145915e-3	1.8417835e-4	2.4129686e1	7.5849971e-1	
2023-10-11	10:52:41	-2.03758e1	1.31409e-2	-6.47051e1	5.16134e1	7.56887e1	-4.5462846e-3	1.1128187e-4	2.4107866e1	7.7258086e-1	
2023-10-11	10:52:42	-2.06310e1	3.99620e-3	-7.30620e1	5.16167e1	7.56529e1	-4.6021938e-3	3.3855438e-5	2.4147310e1	7.7668218e-1	
2023-10-11	10:52:42	-2.12692e1	1.26086e-2	-6.50151e1	5.16167e1	7.56275e1	-4.7463178e-3	1.0669231e-4	2.4167451e1	7.7649354e-1	
2023-10-11	10:52:43	-2.02631e1	1.18962e-2	-6.54409e1	5.16201e1	7.56289e1	-4.5166015e-3	1.0067224e-4	2.4167451e1	7.7309374e-1	
2023-10-11	10:52:43	-2.08293e1	1.12454e-2	-6.58495e1	5.16234e1	7.56439e1	-4.6467781e-3	9.5188617e-5	2.4109544e1	7.5352869e-1	
2023-10-11	10:52:44	-2.08293e1	1.12454e-2	-6.58495e1	5.16234e1	7.56439e1	-4.6467781e-3	9.5188617e-5	2.4109544e1	7.5352869e-1	
2023-10-11	10:52:44	-2.15676e1	1.31054e-2	-6.47246e1	5.16268e1	7.56932e1	-4.8189163e-3	1.1098384e-4	2.4167451e1	7.4575119e-1	
2023-10-11	10:52:45	-2.06239e1	7.01488e-3	-6.92055e1	5.16234e1	7.57484e1	-4.6067237e-3	5.9485435e-5	2.4117097e1	7.4459867e-1	
2023-10-11	10:52:45	-2.04164e1	1.69267e-2	-6.28075e1	5.16168e1	7.58164e1	-4.5638084e-3	1.4352798e-4	2.4169969e1	7.3320436e-1	
2023-10-11	10:52:46	-2.02496e1	6.28496e-3	-6.99648e1	5.16168e1	7.58130e1	-4.5254230e-3	5.3346157e-5	2.4177522e1	7.6438212e-1	
2023-10-11	10:52:46	-2.05321e1	1.05324e-2	-6.63144e1	5.16134e1	7.57499e1	-4.5859813e-3	8.9287757e-5	2.4116258e1	7.4314117e-1	
2023-10-11	10:52:47	-2.05321e1	1.05324e-2	-6.63144e1	5.16134e1	7.57499e1	-4.5859813e-3	8.9287757e-5	2.4116258e1	7.4314117e-1	
2023-10-11	10:52:47	-2.06805e1	1.95090e-2	-6.17370e1	5.16134e1	7.57705e1	-4.6212673e-3	1.6528367e-4	2.4131364e1	7.3750877e-1	
2023-10-11	10:52:48	-2.00955e1	1.50349e-2	-6.36961e1	5.16134e1	7.58057e1	-4.4897794e-3	1.2749433e-4	2.4158220e1	7.5841159e-1	
2023-10-11	10:52:48	-2.01947e1	1.18662e-2	-6.54455e1	5.16101e1	7.57730e1	-4.5104026e-3	1.0061264e-4	2.4126329e1	7.4997801e-1	
2023-10-11	10:52:49	-2.05846e1	1.51005e-2	-6.36681e1	5.16168e1	7.57602e1	-4.5986175e-3	1.2797117e-4	2.4161577e1	7.5575199e-1	
2023-10-11	10:52:49	-2.05879e1	1.16378e-2	-6.55895e1	5.16201e1	7.57497e1	-4.5986175e-3	9.8645687e-5	2.4143953e1	7.5846128e-1	
